name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
27AB,Seat,9166211-11,,TOA-TOD_Y2.png,22,51,92,93
28AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,51,92,94
29AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,109,92,152
30AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,168,92,211
31AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,226,92,269
32AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,284,92,327
33AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,343,92,386
34AB,Seat,9166210-03,,TOA-TOD_Y2.png,22,401,92,444
35AB,Seat,9166210-03,,TOA-TOD_Y2.png,22,460,92,503
36AB,Seat,9166210-01,,TOA-TOD_Y2.png,22,518,92,561
37AB,Seat,9166210-09,,TOA-TOD_Y2.png,22,577,92,620
38AB,Seat,9166210-09,,TOA-TOD_Y2.png,22,635,92,678
39AB,Seat,9166210-09,,TOA-TOD_Y2.png,22,694,92,737
26DE,Seat,9166231-13,,TOA-TOD_Y2.png,128,54,198,96
27DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,54,198,97
28DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,113,198,156
29DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,172,198,215
30DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,230,198,273
31DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,289,198,332
32DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,347,198,390
33DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,404,198,447
34DE,Seat,9166230-15,,TOA-TOD_Y2.png,128,463,198,506
35DE,Seat,9166230-17,,TOA-TOD_Y2.png,128,522,198,565
36DE,Seat,9166230-19,,TOA-TOD_Y2.png,128,580,198,623
37EEF,Seat,9166341-21,,TOA-TOD_Y2.png,128,639,198,682
38EFG,Seat,9166340-22,,TOA-TOD_Y2.png,128,697,198,740
39EFG,Seat,9166340-22,,TOA-TOD_Y2.png,128,755,198,798
40EFG,Seat,9166340-22,,TOA-TOD_Y2.png,128,812,198,855
41EFG,Seat,9166340-22,,TOA-TOD_Y2.png,128,869,198,912
42EFG,Seat,9166340-23,,TOA-TOD_Y2.png,128,869,198,912
26FG,Seat,9166221-14,,TOA-TOD_Y2.png,200,54,270,96
27FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,54,270,97
28FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,113,270,156
29FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,172,270,215
30FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,230,270,273
31FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,289,270,332
32FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,347,270,390
33FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,404,270,447
34FG,Seat,9166220-16,,TOA-TOD_Y2.png,200,463,270,506
35FG,Seat,9166220-18,,TOA-TOD_Y2.png,200,463,270,507
36FG,Seat,9166220-20,,TOA-TOD_Y2.png,200,463,270,508
27HJ,Seat,9166201-12,,TOA-TOD_Y2.png,306,51,376,93
28HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,51,376,94
29HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,109,376,152
30HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,168,376,211
31HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,226,376,269
32HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,284,376,327
33HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,343,376,386
34HJ,Seat,9166200-04,,TOA-TOD_Y2.png,306,401,376,444
35HJ,Seat,9166200-04,,TOA-TOD_Y2.png,306,460,376,503
36HJ,Seat,9166200-02,,TOA-TOD_Y2.png,306,518,376,561
37HJ,Seat,9166200-06,,TOA-TOD_Y2.png,306,577,376,620
38HJ,Seat,9166200-10,,TOA-TOD_Y2.png,306,635,376,678
39HJ,Seat,9166200-10,,TOA-TOD_Y2.png,306,694,376,737
40HJ,Seat,9166200-10,,TOA-TOD_Y2.png,306,750,376,793
L61,Lavatory,F2549006502000,,TOA-TOD_Y2.png,0,0,0,0
L62,Lavatory,F2549007502000,,TOA-TOD_Y2.png,0,0,0,0
L73,Lavatory,F2549027500800,,TOA-TOD_Y2.png,0,0,0,0
L74,Lavatory,F2549028501800,,TOA-TOD_Y2.png,0,0,0,0
Y2/CCarpet,Carpet,,,TOA-TOD_Y2.png,0,0,0,0
DP,Panel,,,TOA-TOD_Y2.png,0,0,0,0
SP,Sidewall,,,TOA-TOD_Y2.png,0,0,0,0
LABEL,Label,,,TOA-TOD_Y2.png,0,0,0,0
