name,part.number,part.kind,part.description
11AB,782-21-21,Seat,
12AB,782-21-11,Seat,
13AB,782-21-11,Seat,
14AB,782-21-11,Seat,
15AB,782-21-11,Seat,
16AB,782-21-11,Seat,
17AB,782-21-11,Seat,
18AB,782-21-11,Seat,
19AB,782-21-11,Seat,
20AB,782-21-11,Seat,
21AB,782-21-11,Seat,
22AB,782-21-11,Seat,
23AB,782-21-11,Seat,
24AB,782-21-11,Seat,
25AB,782-21-12,Seat,
26ABHJ,782-40-03,Seat,
11DE,782-21-51,Seat,
12DE,782-21-44,Seat,
13DE,782-21-44,Seat,
14DE,782-21-44,Seat,
15DE,782-21-44,Seat,
16DE,782-21-44,Seat,
17DE,782-21-44,Seat,
18DE,782-21-44,Seat,
19DE,782-21-44,Seat,
20DE,782-21-44,Seat,
21DE,782-21-44,Seat,
22DE,782-21-44,Seat,
23DE,782-21-44,Seat,
24DE,782-21-44,Seat,
25DE,782-21-44,Seat,
11FG,782-22-51,Seat,
12FG,782-22-44,Seat,
13FG,782-22-44,Seat,
14FG,782-22-44,Seat,
15FG,782-22-44,Seat,
16FG,782-22-44,Seat,
17FG,782-22-44,Seat,
18FG,782-22-44,Seat,
19FG,782-22-44,Seat,
20FG,782-22-44,Seat,
21FG,782-22-44,Seat,
22FG,782-22-44,Seat,
23FG,782-22-44,Seat,
24FG,782-22-44,Seat,
25FG,782-22-44,Seat,
11HJ,782-22-21,Seat,
12HJ,782-22-11,Seat,
13HJ,782-22-11,Seat,
14HJ,782-22-11,Seat,
15HJ,782-22-11,Seat,
16HJ,782-22-11,Seat,
17HJ,782-22-11,Seat,
18HJ,782-22-11,Seat,
19HJ,782-22-11,Seat,
20HJ,782-22-11,Seat,
21HJ,782-22-11,Seat,
22HJ,782-22-11,Seat,
23HJ,782-22-11,Seat,
24HJ,782-22-11,Seat,
25HJ,782-22-12,Seat,
L51,F2549014109800,Lavatory,
L52,F2549019012200,Lavatory,
L61,F2549039502600,Lavatory,
Y1/CCarpet,Generic,Carpet,
DP,Generic,Panel,
SP,Generic,Sidewall,
LABEL,Generic,Label,
