name,x1,y1,x2,y2
11DE,126,84,197,127
11FG,200,84,271,127
12AB,20,148,91,191
12DE,126,143,197,186
12FG,200,143,271,186
12HJ,306,148,377,191
13DE,126,201,196,245
13HJ,306,205,377,249
13FG,200,201,271,245
14AB,20,262,91,306
14HJ,306,263,377,306
15DE,126,319,198,363
15AB,20,319,91,363
14DE,126,260,197,303
16AB,20,377,91,420
15FG,200,319,271,363
14FG,200,260,271,303
15HJ,306,319,377,362
16DE,126,378,196,422
16FG,200,378,271,422
16HJ,306,377,377,420
17AB,20,433,91,477
17DE,126,437,197,480
17FG,200,437,271,480
17HJ,306,433,377,476
18AB,20,490,91,534
18FG,200,496,271,539
18HJ,306,490,377,534
19AB,20,548,91,591
19DE,126,555,197,598
19FG,200,555,271,598
19HJ,306,547,377,591
20AB,20,604,92,648
20DE,126,613,198,657
20FG,200,613,271,657
20HJ,306,604,377,648
21AB,20,662,91,705
21DE,126,672,198,716
21FG,200,672,271,716
21HJ,306,661,377,705
22AB,20,719,91,762
22DE,126,731,197,775
22FG,200,731,271,775
22HJ,306,719,377,762
23AB,20,776,91,820
23DE,126,790,198,833
23HJ,306,776,377,819
24AB,20,833,91,876
24DE,126,849,198,892
24FG,200,849,271,892
24HJ,306,832,377,876
25AB,20,890,91,933
25DE,126,908,198,951
25FG,200,908,272,950
25HJ,306,889,377,933
L53,11,951,91,1012
L54,305,951,385,1012
13AB,20,205,91,249
18DE,126,496,197,539
23FG,200,790,271,833
